Running,Expected,Obtained,Aprox Obtida,Validade,Tempo
eil51,426,"""486.82""","""0.8750""",TRUE,"""0.0156"""
berlin52,7542,"""8594.0""","""0.8775""",TRUE,"""0.0156"""
st70,675,"""759.16""","""0.8891""",TRUE,"""0.0468"""
eil76,538,"""623.05""","""0.8634""",TRUE,"""0.0625"""
pr76,108159,"""116683""","""0.9269""",TRUE,"""0.0312"""
rat99,1211,"""1367.4""","""0.8856""",TRUE,"""0.0625"""
kroA100,21282,"""23292.""","""0.9136""",TRUE,"""0.0937"""
kroB100,22141,"""24009.""","""0.9221""",TRUE,"""0.0625"""
kroC100,20749,"""23469.""","""0.8840""",TRUE,"""0.0781"""
kroD100,21294,"""23587.""","""0.9027""",TRUE,"""0.1093"""
kroE100,22068,"""23782.""","""0.9279""",TRUE,"""0.1093"""
rd100,7910,"""8905.4""","""0.8882""",TRUE,"""0.1406"""
eil101,629,"""722.99""","""0.8699""",TRUE,"""0.1093"""
lin105,14379,"""16323.""","""0.8808""",TRUE,"""0.0781"""
pr107,44303,"""47894.""","""0.9250""",TRUE,"""0.0468"""
pr124,59030,"""64437.""","""0.9160""",TRUE,"""0.0468"""
bier127,118282,"""132456""","""0.8929""",TRUE,"""0.2031"""
ch130,6110,"""6752.2""","""0.9048""",TRUE,"""0.1250"""
pr136,96772,"""103771""","""0.9325""",TRUE,"""0.0312"""
pr144,58537,"""70405.""","""0.8314""",TRUE,"""0.0781"""
ch150,6528,"""7112.0""","""0.9178""",TRUE,"""0.1406"""
kroA150,26524,"""29688.""","""0.8934""",TRUE,"""0.3125"""
kroB150,26130,"""30054.""","""0.8694""",TRUE,"""0.3281"""
pr152,73682,"""79314.""","""0.9289""",TRUE,"""0.0625"""
u159,42080,"""47581.""","""0.8843""",TRUE,"""0.1718"""
rat195,2323,"""2648.0""","""0.8772""",TRUE,"""0.3437"""
d198,15780,"""17316.""","""0.9112""",TRUE,"""0.4218"""
kroA200,29368,"""33602.""","""0.8739""",TRUE,"""0.6355"""
kroB200,29437,"""33118.""","""0.8888""",TRUE,"""0.5026"""
ts225,126643,"""133282""","""0.9501""",TRUE,"""0.0829"""
tsp225,3919,"""4376.0""","""0.8955""",TRUE,"""0.4498"""
pr226,80369,"""92425.""","""0.8695""",TRUE,"""0.3399"""
gil262,2378,"""2695.1""","""0.8823""",TRUE,"""1.0001"""
pr264,49135,"""54663.""","""0.8988""",TRUE,"""0.3281"""
a280,2579,"""2975.1""","""0.8668""",TRUE,"""0.7344"""
pr299,48191,"""52968.""","""0.9098""",TRUE,"""1.0468"""
lin318,42029,"""47259.""","""0.8893""",TRUE,"""1.3672"""
linhp318,41345,"""47259.""","""0.8748""",TRUE,"""1.3497"""
rd400,15281,"""17551.""","""0.8706""",TRUE,"""4.0302"""
fl417,11861,"""13424.""","""0.8835""",TRUE,"""1.5801"""
